%lon       lat      area     depth_w  grid   subregion  
-68.325   40.925   23.31    52.3     534    2          
-68.325   40.975   23.29    47.5     535    2          
-68.325   41.025   23.27    36.2     536    2          
-68.325   41.075   23.26    34.3     537    2          
-68.325   41.125   23.24    42.6     538    2          
-68.325   41.175   23.22    45.5     539    2          
-68.325   41.225   23.20    50.3     540    2          
-68.325   41.275   23.19    50.0     541    2          
-68.325   41.325   23.17    57.2     542    2          
-68.325   41.375   23.15    57.5     543    2          
-68.325   41.425   23.13    51.2     544    2          
-68.325   41.475   23.12    49.9     545    2          
-68.325   41.525   23.10    43.9     546    2          
-68.325   41.575   23.08    43.3     547    2          
-68.325   41.625   23.06    49.0     548    2          
-68.325   41.675   23.04    52.0     549    2          
-68.325   41.725   23.03    68.0     550    2          
-68.325   41.775   23.01    123.8    551    1          
-68.325   41.825   22.99    226.9    552    1          
-68.325   41.875   22.97    224.0    553    1          
-68.325   41.925   22.95    205.0    554    1          
-68.275   40.225   23.56    751.0    555    5          
-68.275   40.275   23.54    255.8    556    5          
-68.275   40.325   23.52    157.1    557    5          
-68.275   40.375   23.50    134.7    558    4          
-68.275   40.425   23.49    119.9    559    4          
-68.275   40.475   23.47    106.0    560    4          
-68.275   40.525   23.45    99.2     561    4          
-68.275   40.575   23.43    91.3     562    4          
-68.275   40.625   23.42    83.1     563    4          
-68.275   40.675   23.40    72.5     564    4          
-68.275   40.725   23.38    62.0     565    4          
-68.275   40.775   23.36    56.1     566    2          
-68.275   40.825   23.35    47.6     567    2          
-68.275   40.875   23.33    51.2     568    2          
-68.275   40.925   23.31    48.6     569    2          
-68.275   40.975   23.29    51.6     570    2          
-68.275   41.025   23.27    46.0     571    2          
-68.275   41.075   23.26    33.0     572    2          
-68.275   41.125   23.24    44.2     573    2          
-68.275   41.175   23.22    47.3     574    2          
-68.275   41.225   23.20    41.5     575    2          
-68.275   41.275   23.19    45.0     576    2          
-68.275   41.325   23.17    50.8     577    2          
-68.275   41.375   23.15    49.9     578    2          
-68.275   41.425   23.13    45.9     579    2          
-68.275   41.475   23.12    50.8     580    2          
-68.275   41.525   23.10    46.0     581    2          
-68.275   41.575   23.08    27.9     582    2          
-68.275   41.625   23.06    26.5     583    2          
-68.275   41.675   23.04    24.0     584    2          
-68.275   41.725   23.03    52.0     585    2          
-68.275   41.775   23.01    87.0     586    2          
-68.275   41.825   22.99    189.8    587    1          
-68.275   41.875   22.97    226.9    588    1          
-68.275   41.925   22.95    224.9    589    1          
-68.275   41.975   22.94    200.4    590    1          
-68.225   40.225   23.56    380.3    591    5          
-68.225   40.275   23.54    192.5    592    5          
-68.225   40.325   23.52    154.6    593    5          
-68.225   40.375   23.50    138.5    594    4          
-68.225   40.425   23.49    128.3    595    4          
-68.225   40.475   23.47    115.1    596    4          
-68.225   40.525   23.45    101.2    597    4          
-68.225   40.575   23.43    91.7     598    4          
-68.225   40.625   23.42    87.3     599    4          
-68.225   40.675   23.40    75.1     600    4          
-68.225   40.725   23.38    66.7     601    4          
-68.225   40.775   23.36    57.0     602    2          
-68.225   40.825   23.35    50.1     603    2          
-68.225   40.875   23.33    44.5     604    2          
-68.225   40.925   23.31    49.7     605    2          
-68.225   40.975   23.29    54.4     606    2          
-68.225   41.025   23.27    43.7     607    2          
-68.225   41.075   23.26    45.9     608    2          
-68.225   41.125   23.24    38.8     609    2          
-68.225   41.175   23.22    41.0     610    2          
-68.225   41.225   23.20    43.3     611    2          
-68.225   41.275   23.19    42.0     612    2          
-68.225   41.325   23.17    46.1     613    2          
-68.225   41.375   23.15    46.1     614    2          
-68.225   41.425   23.13    37.0     615    2          
-68.225   41.475   23.12    44.8     616    2          
-68.225   41.525   23.10    33.9     617    2          
-68.225   41.575   23.08    35.6     618    2          
-68.225   41.625   23.06    37.9     619    2          
-68.225   41.675   23.04    36.0     620    2          
-68.225   41.725   23.03    35.6     621    2          
-68.225   41.775   23.01    73.0     622    2          
-68.225   41.825   22.99    124.0    623    1          
-68.225   41.875   22.97    204.9    624    1          
-68.225   41.925   22.95    223.9    625    1          
-68.225   41.975   22.94    225.0    626    1          
-68.175   40.225   23.56    402.7    627    5          
-68.175   40.275   23.54    258.4    628    5          
-68.175   40.325   23.52    219.3    629    5          
-68.175   40.375   23.50    203.3    630    5          
-68.175   40.425   23.49    149.9    631    4          
