NET	STA	CHA	LOC	STANAME	LAT	LON	ELEV	ONDATE	OFFDATE	EDEPTH	REALTIME
AZ	PFO	EHZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	10/1/82	6/9/93	0	
AZ	PFO	HHE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	6/9/93	1/1/00	0	*realtime
AZ	PFO	HHN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	6/9/93	1/1/00	0	*realtime
AZ	PFO	HHZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	10/24/91	1/1/00	0	*realtime
AZ	PFO	HLE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	6/9/93	6/23/93	0	
AZ	PFO	HLN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	6/9/93	6/23/93	0	
AZ	PFO	HLZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	3/7/93	6/23/93	0	
AZ	PFO	HNE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	11/29/01	1/1/00	0	*realtime
AZ	PFO	HNN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	11/29/01	1/1/00	0	*realtime
AZ	PFO	HNZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	11/29/01	1/1/00	0	*realtime
AZ	PFO	LHE	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	2/9/99	1/1/00	0	
AZ	PFO	LHN	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	2/9/99	1/1/00	0	
AZ	PFO	LHZ	--	"Pinyon Flats Observatory, CA,"	33.6117	-116.4594	1259	2/9/99	1/1/00	0	
AZ	RDM	BHE	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	BHN	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	BHZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	EHZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	10/1/82	3/6/93	0	
AZ	RDM	HHE	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	HHN	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	HHZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	1/1/00	0	*realtime
AZ	RDM	HLE	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	6/23/93	0	
AZ	RDM	HLN	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	6/23/93	0	
AZ	RDM	HLZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	3/7/93	6/23/93	0	
AZ	RDM	HNE	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	1/18/02	1/1/00	0	*realtime
AZ	RDM	HNN	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	1/18/02	1/1/00	0	*realtime
AZ	RDM	HNZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	1/18/02	1/1/00	0	*realtime
AZ	RDM	LHE	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	12/19/99	1/1/00	0	
AZ	RDM	LHN	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	12/19/99	1/1/00	0	
AZ	RDM	LHZ	--	"Red Mountain, Riverside Co, CA"	33.63	-116.8478	1365	12/19/99	1/1/00	0	
AZ	SCI2	HNE	--	"San Clemente Island, CA, USA"	32.915	-118.4879	486	9/23/02	1/1/00	0	
AZ	SCI2	HNN	--	"San Clemente Island, CA, USA"	32.915	-118.4879	486	9/23/02	1/1/00	0	
