
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2020-08-05


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, whittier narrows
Station Name:, 
User-Defined Maximum Number of Records:, 80
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, RotD50
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.02,0.3086779,0.3941267,0.224,0.3130163,0.171575,0.176,0.05889183,0.05493049,0.055,0.295413,0.180471,0.23,0.09399618,0.08737936,0.0971,0.1360414,0.06509475,0.1,0.2324625,0.2320288,0.149,0.08839203,0.1343619,0.0658,0.09475914,0.1406099,0.0435,0.1293482,0.2138319,0.118,0.1169978,0.1000523,,0.1739125,0.3186546,0.0758,0.102847,0.1581961,0.1,0.213502,0.1763987,0.151,0.04152781,0.02697873,0.0231,0.1287304,0.1144614,0.0527,0.1178313,0.1008482,0.127,0.1690378,0.2124552,0.0607,0.04126121,0.05904755,0.0371,0.1113943,0.1001922,0.0475,0.03182928,0.03851368,0.0218,0.06865589,0.06905708,0.0284,0.3242949,0.3105687,0.199,0.0811478,0.06247392,0.0697,0.1363586,0.07836003,0.108,0.2369771,0.3495158,0.325,0.2054946,0.155874,0.206,0.1379554,0.2467381,0.218,0.07945424,0.07839932,0.0497,0.07153358,0.05726621,0.0602,0.3790289,0.4823897,0.371,0.3113986,0.1785388,0.171,0.09830727,0.1174104,0.0898,0.1883317,0.2252618,0.119,0.03224935,0.03675669,0.0286,0.046384,0.04081563,0.0275,0.2670223,0.2281476,0.074,0.2786697,0.4004466,0.0914,0.1512471,0.1610128,0.113,0.06466562,0.04967846,0.0376,0.07235286,0.1033941,0.0398,0.05897353,0.06926845,0.0288,0.03824757,0.01838912,0.0205,0.1677431,0.1464512,0.104,0.1609764,0.1789435,0.103,0.1804635,0.2270284,0.214,0.2107294,0.122247,0.082,0.05034928,0.06042726,0.0348,0.1370275,0.189604,0.169,0.2303795,0.2115208,0.0893,0.4342881,0.4409595,0.144,0.1969892,0.1701525,0.117,0.1082113,0.1579032,0.0468,0.1745542,0.1579123,0.0834,0.04190243,0.05115435,0.0736,0.05346191,0.0707948,0.0286,0.2297755,0.1586216,0.173,0.1491878,0.2411773,0.0872,0.06275512,0.05574731,0.0435,0.1363302,0.1529296,0.104,0.1766289,0.1237628,0.0734,0.1440532,0.1240842,0.0846,0.03952884,0.02730278,,0.295785,0.2080329,0.138,0.06265452,0.06216594,0.0296,0.06135398,0.05557312,0.0424,0.05323147,0.05320218,0.0268,0.03371011,0.04829429,0.0238,0.06818052,0.05735789,0.0156,0.04446904,0.04794918,0.029,0.04513954,0.03098825,0.0289,0.0971282,0.08169526,0.0565,0.04888859,0.04731803,0.021,0.1304415,0.1884418,0.124,0.123351,0.2111702,0.0821,0.04804817,0.0590985,0.0263,0.08702835,0.06197674,0.0323,0.153105,0.1230702,0.102,0.09244917,0.2506731,0.092,0.1942944,0.2123232,0.135,0.06550832,0.03565359,0.0337
0.022,0.3127394,0.3943051,0.226,0.3138855,0.1714945,0.182,0.05907721,0.05524491,0.0562,0.2950569,0.1807086,0.228,0.0947607,0.08717382,0.0967,0.1372671,0.06473421,0.104,0.2337554,0.2425064,0.161,0.0888611,0.134926,0.0671,0.09487126,0.1410792,0.0438,0.1318136,0.2153507,0.129,0.117513,0.1007863,,0.1750734,0.3193248,0.0765,0.1029963,0.1588488,0.101,0.214257,0.177485,0.157,0.04172404,0.02703932,0.0231,0.1283836,0.1142569,0.053,0.1177941,0.1015742,0.132,0.1697256,0.2128536,0.0611,0.04210189,0.05955055,0.0374,0.1122255,0.1001197,0.0501,0.03187326,0.03847486,0.0218,0.06891221,0.06918788,0.0273,0.3253557,0.3173429,0.23,0.08193605,0.06179109,0.0697,0.1365174,0.07850181,0.111,0.2381594,0.3494259,0.323,0.2067221,0.1561556,0.202,0.1382521,0.2489877,0.216,0.07974841,0.07800326,0.0527,0.07135526,0.05811783,0.0623,0.3786745,0.4843563,0.373,0.3195185,0.1820385,0.192,0.09885849,0.1197583,0.0932,0.1895769,0.2223996,0.124,0.03200046,0.03690604,0.0288,0.04687364,0.04096325,0.0272,0.268201,0.230605,0.0739,0.2812567,0.4012838,0.0942,0.1532812,0.1608512,0.112,0.06585766,0.05139166,0.0391,0.07332654,0.1036376,0.0404,0.05930597,0.0696793,0.0291,0.03822215,0.01836374,0.0203,0.1705435,0.147247,0.104,0.1616654,0.1784032,0.103,0.1805439,0.2270734,0.237,0.2108593,0.1251843,0.0897,0.05066171,0.0605015,0.0356,0.1374099,0.190331,0.172,0.2343197,0.2200498,0.101,0.4449514,0.4419492,0.148,0.197176,0.1703247,0.119,0.1091512,0.1572705,0.047,0.1748492,0.1580675,0.085,0.04209217,0.05104881,0.0778,0.05368473,0.07105269,0.0288,0.2308626,0.1586609,0.177,0.1510636,0.2409691,0.0875,0.06249183,0.05568836,0.0438,0.1366442,0.1533575,0.105,0.1778255,0.1243002,0.074,0.1442668,0.1244736,0.0848,0.03965634,0.02711368,,0.2964276,0.2090254,0.14,0.06260481,0.06202122,0.0303,0.06100853,0.05556625,0.0443,0.05319445,0.0526831,0.0269,0.0337779,0.048898,0.0239,0.06828205,0.05787649,0.0158,0.04487303,0.0480544,0.0291,0.04584562,0.0310019,0.0291,0.09896137,0.08187441,0.0722,0.04868912,0.04750215,0.0209,0.1351984,0.1976528,0.126,0.1233652,0.2115217,0.0899,0.04813048,0.0593714,0.0264,0.08697196,0.06208975,0.0323,0.1532575,0.1234565,0.1,0.09267831,0.2514997,0.094,0.1942165,0.2135376,0.136,0.06559635,0.03572728,0.0336
0.025,0.3166731,0.3928197,0.257,0.3137705,0.1714104,0.18,0.05898902,0.05561301,0.0563,0.2967398,0.1820126,0.241,0.09534723,0.08906338,0.107,0.1357736,0.06565922,0.111,0.2350368,0.2625352,0.176,0.08917262,0.1360185,0.0694,0.09526904,0.1415571,0.0445,0.1376652,0.2160935,0.135,0.1190341,0.1008241,,0.1783049,0.3207412,0.0772,0.1032455,0.1597459,0.104,0.2126001,0.1804589,0.164,0.04150855,0.02686138,0.0238,0.1289369,0.114088,0.0529,0.1188712,0.1031653,0.149,0.1710978,0.2136811,0.0616,0.04329589,0.06034993,0.0384,0.1122477,0.1014559,0.0514,0.03194525,0.03847937,0.0218,0.06911406,0.06926535,0.0277,0.3240195,0.3300605,0.259,0.08303882,0.06475387,0.0718,0.136853,0.07850351,0.117,0.2393898,0.3506301,0.347,0.2073309,0.1554904,0.256,0.1391776,0.2470152,0.242,0.07967874,0.07812301,0.0584,0.07323565,0.05884742,0.0598,0.3816561,0.4810142,0.376,0.3244143,0.1819411,0.203,0.09839112,0.1221001,0.1,0.1907229,0.2208297,0.128,0.03303807,0.03713096,0.0291,0.04667673,0.04127489,0.0291,0.2807266,0.2296026,0.0745,0.2817785,0.4069163,0.0959,0.1553586,0.1630952,0.115,0.06829157,0.05422013,0.0398,0.07461064,0.1043653,0.0408,0.05976937,0.06936286,0.0302,0.03781323,0.01850443,0.0207,0.174136,0.1462053,0.11,0.1611034,0.1767693,0.104,0.1821836,0.2278813,0.257,0.2106569,0.1258119,0.0815,0.05082439,0.06026907,0.0371,0.1387246,0.1941338,0.172,0.232279,0.2259683,0.109,0.4549982,0.4335205,0.152,0.1976443,0.1716446,0.126,0.1097941,0.1599398,0.0474,0.1754756,0.15852,0.0867,0.04176558,0.0525523,0.0898,0.05306787,0.07098562,0.0293,0.230643,0.160828,0.198,0.1491076,0.2465837,0.0884,0.0628989,0.05626369,0.0451,0.1373445,0.1541842,0.106,0.1807064,0.124407,0.077,0.1449643,0.1251358,0.0849,0.03973184,0.02723859,,0.2953702,0.210242,0.142,0.06261958,0.0628274,0.0286,0.06163858,0.05723035,0.0461,0.05351219,0.05211038,0.0281,0.03362314,0.05041986,0.0253,0.0688906,0.05862008,0.0167,0.04465149,0.04826997,0.0313,0.04564364,0.03149069,0.0305,0.09905428,0.08295517,0.111,0.0489824,0.04738841,0.0207,0.1409633,0.2146525,0.125,0.1238718,0.2135955,0.104,0.04827104,0.05954798,0.0267,0.08698211,0.0621085,0.0325,0.1537585,0.1255246,0.107,0.09317411,0.2528701,0.0993,0.195283,0.2163427,0.139,0.06662845,0.03598218,0.034
0.029,0.3159724,0.4060192,0.312,0.3175004,0.1756998,0.172,0.06022461,0.05622717,0.0605,0.3010668,0.1829097,0.292,0.09376106,0.08804888,0.13,0.1404963,0.06599712,0.121,0.2384452,0.3222782,0.246,0.08799423,0.1347019,0.0715,0.09560046,0.1422018,0.0445,0.131609,0.2167297,0.146,0.1200713,0.1007848,,0.1825332,0.3210848,0.0818,0.1029888,0.1613412,0.11,0.2196926,0.18161,0.177,0.04219892,0.02787135,0.0261,0.1312427,0.1147228,0.0572,0.1225312,0.1036029,0.197,0.1739285,0.2178726,0.0636,0.0438952,0.06020877,0.0407,0.1112008,0.1034501,0.0559,0.03214893,0.03884123,0.0222,0.06985337,0.06980313,0.0278,0.3246518,0.3349078,0.264,0.083886,0.06562345,0.0799,0.136363,0.07957172,0.124,0.2498644,0.3520971,0.387,0.2058582,0.1572106,0.397,0.1405487,0.256975,0.307,0.08052187,0.07995355,0.0675,0.07572748,0.06083209,0.0599,0.3981348,0.4785796,0.391,0.3247895,0.1872559,0.23,0.1012127,0.1197923,0.105,0.1947711,0.2110911,0.143,0.03242571,0.03837817,0.0325,0.04794817,0.04142585,0.0305,0.2992024,0.22871,0.0835,0.2866896,0.4103073,0.0994,0.155003,0.1608843,0.118,0.06760745,0.05736692,0.044,0.07635082,0.1074809,0.0416,0.06017797,0.06985497,0.0298,0.03811497,0.01852828,0.0222,0.1780033,0.149159,0.115,0.1659706,0.1806245,0.105,0.1834195,0.235962,0.285,0.2120561,0.1286726,0.1,0.05142321,0.0606326,0.0378,0.1413248,0.1932868,0.175,0.2245243,0.2275476,0.149,0.4513545,0.4541568,0.161,0.2045456,0.1755891,0.144,0.1080194,0.1552798,0.0481,0.1820586,0.1605423,0.0952,0.04553588,0.05589201,0.115,0.05393177,0.07141387,0.0305,0.2280906,0.1633438,0.22,0.1579158,0.2386944,0.0964,0.06390963,0.05606034,0.0461,0.139894,0.1577899,0.114,0.1822382,0.1268357,0.0859,0.1452994,0.1264712,0.0878,0.03996202,0.02807353,,0.3004311,0.2129392,0.151,0.06343208,0.06317837,0.031,0.06106338,0.05754048,0.0591,0.05392222,0.05395388,0.0302,0.03394938,0.05106821,0.026,0.06928749,0.05989709,0.0168,0.04572275,0.04817151,0.0305,0.0455355,0.03188124,0.0314,0.1007479,0.0809785,0.097,0.0496517,0.04685068,0.0211,0.1660311,0.2334905,0.139,0.1246141,0.2125166,0.147,0.04858955,0.0594247,0.0274,0.08706831,0.06220275,0.0327,0.1543283,0.1273377,0.13,0.09435722,0.2555426,0.108,0.1958682,0.2206033,0.145,0.06663846,0.03639028,0.035
0.03,0.3164472,0.4087931,0.307,0.3185458,0.1686598,0.175,0.05997277,0.05640041,0.0634,0.3024152,0.1825067,0.305,0.0928548,0.08780264,0.131,0.1399442,0.06633063,0.131,0.2393849,0.3291946,0.256,0.08772814,0.1344276,0.0741,0.09583107,0.1415621,0.0448,0.1321728,0.2149503,0.149,0.1204826,0.1003895,,0.183333,0.3222658,0.0848,0.1033328,0.1634439,0.113,0.2215291,0.1849975,0.181,0.0425956,0.02808599,0.0267,0.1312748,0.1154166,0.0591,0.1241633,0.1039324,0.213,0.1752057,0.2185768,0.0643,0.04439693,0.06023239,0.0407,0.1129002,0.1032039,0.0602,0.03223146,0.03884138,0.0221,0.06991503,0.06997269,0.0283,0.3288471,0.3329365,0.282,0.08463149,0.06610988,0.08,0.1360453,0.08076888,0.129,0.2520575,0.3525313,0.408,0.2068147,0.1573066,0.455,0.141214,0.2590178,0.314,0.08020727,0.08017858,0.0716,0.07551067,0.0606638,0.0634,0.3997799,0.4758984,0.388,0.3270251,0.1869545,0.235,0.1024098,0.1192514,0.104,0.1934031,0.2144843,0.143,0.03398421,0.03844899,0.0332,0.04841138,0.0416675,0.0303,0.3081347,0.2294772,0.0856,0.2869698,0.4146947,0.102,0.1541195,0.1613512,0.118,0.06727926,0.05686826,0.046,0.07728561,0.1069391,0.0428,0.06016323,0.07010218,0.0296,0.03787782,0.01845082,0.0224,0.1806319,0.1509638,0.12,0.1662883,0.1856695,0.105,0.1837197,0.2368207,0.296,0.212594,0.1275247,0.0962,0.05114563,0.06117771,0.0383,0.1408582,0.1937625,0.172,0.2277269,0.2280213,0.156,0.4495191,0.4596865,0.164,0.2050381,0.1776668,0.144,0.1071083,0.1527396,0.0483,0.1819893,0.1614175,0.0969,0.04726522,0.0559006,0.114,0.05410298,0.07133605,0.0306,0.2276225,0.1643632,0.228,0.162295,0.2441284,0.0997,0.0641903,0.05601968,0.0459,0.1383002,0.1589672,0.114,0.1828631,0.1273264,0.0893,0.1458586,0.1266009,0.0892,0.04014392,0.02794331,,0.3016626,0.213856,0.152,0.0635378,0.06283075,0.0318,0.06094115,0.05710467,0.0589,0.05383777,0.05409578,0.0309,0.0339438,0.050666,0.0262,0.06918418,0.06027744,0.017,0.04574067,0.04846466,0.0301,0.04551896,0.03189752,0.0326,0.1037717,0.08049732,0.0908,0.04980807,0.04734265,0.021,0.180667,0.2313774,0.143,0.1254943,0.214517,0.148,0.04824841,0.05952167,0.0273,0.08736105,0.06246513,0.033,0.1551565,0.1275795,0.133,0.09460714,0.2558732,0.109,0.1967784,0.221729,0.147,0.06674999,0.03661054,0.0351
0.032,0.3200519,0.4025723,0.298,0.3217511,0.1703536,0.206,0.05885091,0.05610864,0.0643,0.3022138,0.1814322,0.323,0.09398735,0.08780324,0.158,0.140723,0.06523698,0.148,0.2407344,0.3309822,0.294,0.09020697,0.1344213,0.0768,0.09624536,0.1407574,0.0456,0.131098,0.2158385,0.167,0.1206383,0.1012179,,0.1833703,0.3236896,0.0849,0.1035844,0.1667587,0.117,0.2212197,0.1885849,0.202,0.04291914,0.02813531,0.0269,0.132474,0.1162706,0.0609,0.1299815,0.1077609,0.25,0.1774668,0.2194162,0.0653,0.04422323,0.05929406,0.044,0.1152083,0.1021184,0.071,0.03234132,0.0388111,0.0221,0.06972925,0.07045063,0.0289,0.3364349,0.3310155,0.288,0.08553493,0.06690374,0.088,0.1365509,0.08134456,0.137,0.2472707,0.3528304,0.447,0.2093431,0.1585733,0.496,0.1405825,0.2591685,0.304,0.07952965,0.08073574,0.0787,0.07577243,0.06137379,0.066,0.3983088,0.4936055,0.44,0.3230775,0.1892104,0.275,0.1068571,0.1231548,0.117,0.1939947,0.2279277,0.143,0.03583166,0.03809437,0.034,0.04851544,0.04188545,0.0296,0.3065887,0.2377116,0.0871,0.2864349,0.4145617,0.106,0.1575024,0.1655107,0.119,0.07371198,0.05722214,0.0507,0.07862237,0.1043403,0.0442,0.06042855,0.06916372,0.0301,0.03839087,0.01804015,0.0227,0.1850531,0.1529017,0.13,0.1643928,0.18676,0.109,0.1837143,0.2407271,0.309,0.2132331,0.1273796,0.0961,0.05118822,0.06222536,0.0388,0.1392822,0.1966602,0.174,0.2340763,0.2240597,0.148,0.4368111,0.4605383,0.172,0.2182716,0.1827763,0.142,0.1075019,0.1594244,0.0484,0.1777323,0.1609837,0.0992,0.04940608,0.05498955,0.142,0.05304769,0.070967,0.0322,0.229038,0.1626827,0.255,0.1647853,0.2524952,0.0998,0.06387184,0.05675343,0.0468,0.138265,0.1609518,0.122,0.1854406,0.1276247,0.0931,0.1469659,0.1265166,0.0891,0.04000105,0.02837557,,0.3047306,0.2152039,0.157,0.06403194,0.06285232,0.0325,0.06176926,0.05773025,0.0599,0.0537425,0.05371494,0.0312,0.0344176,0.05000397,0.0262,0.06913467,0.06088997,0.0182,0.04588447,0.04874736,0.03,0.0459622,0.03176485,0.0364,0.1084364,0.08428294,0.109,0.04985794,0.0474254,0.0201,0.1907817,0.2198436,0.145,0.1268634,0.2133636,0.155,0.0484454,0.05946162,0.0272,0.08793277,0.06305163,0.0335,0.1552037,0.1279893,0.123,0.09445883,0.2574115,0.12,0.1986526,0.2241756,0.15,0.06671435,0.03709917,0.0353
0.035,0.3554569,0.4070764,0.373,0.3408117,0.1715947,0.213,0.05974472,0.05751422,0.0703,0.3021415,0.1771574,0.322,0.09547044,0.09172956,0.175,0.150868,0.06757367,0.161,0.2395915,0.3497602,0.251,0.08820693,0.1357417,0.0928,0.09559549,0.140689,0.0453,0.1377274,0.2230204,0.182,0.1214885,0.1024095,,0.1885838,0.3274353,0.105,0.1065392,0.1659477,0.124,0.2161875,0.185613,0.232,0.04232538,0.02782882,0.0332,0.1340272,0.1177739,0.074,0.1505196,0.1132952,0.367,0.1762353,0.2217242,0.0689,0.04730466,0.06273186,0.0506,0.117178,0.1053551,0.0663,0.03248013,0.03863355,0.0222,0.06913277,0.07079051,0.0293,0.343042,0.3240188,0.284,0.08701912,0.06763266,0.0902,0.1380913,0.08071896,0.178,0.2605834,0.3544843,0.471,0.2120818,0.1580528,0.498,0.1409902,0.2459951,0.349,0.08051946,0.08050653,0.0845,0.07699353,0.06092655,0.0734,0.3972851,0.4904585,0.524,0.3082547,0.1931523,0.285,0.1106877,0.1285095,0.13,0.2011245,0.2504339,0.137,0.03681594,0.03900212,0.034,0.04908362,0.04360409,0.0289,0.3090676,0.239905,0.0833,0.2859952,0.418906,0.115,0.1503056,0.1631673,0.127,0.07130618,0.05520693,0.0584,0.07693648,0.110311,0.048,0.06171165,0.07058769,0.0292,0.0392331,0.01884995,0.0217,0.1876633,0.1609766,0.126,0.1626045,0.1932157,0.12,0.1838586,0.2445106,0.304,0.2164454,0.1287935,0.103,0.0508853,0.06243493,0.0396,0.1446225,0.2003846,0.198,0.2510699,0.2207404,0.129,0.4391561,0.4292038,0.19,0.2318553,0.1900564,0.154,0.1111122,0.1686173,0.0474,0.1939268,0.1616861,0.106,0.0520151,0.05478934,0.129,0.05450429,0.07124335,0.0331,0.2294521,0.1780581,0.238,0.1802275,0.2479073,0.11,0.06558654,0.0575364,0.0483,0.1412984,0.1634959,0.122,0.1863453,0.1277327,0.109,0.1483904,0.1266445,0.0844,0.04036232,0.02822601,,0.3019096,0.2180724,0.171,0.06423771,0.0645121,0.0335,0.06229373,0.05736999,0.0706,0.05418544,0.05243378,0.0308,0.0351791,0.0523085,0.0266,0.06992929,0.06237473,0.0193,0.04506096,0.04875333,0.0313,0.04515525,0.03257268,0.0398,0.1064796,0.08777039,0.135,0.04977221,0.04817628,0.0213,0.2337837,0.257403,0.17,0.1277036,0.2195867,0.178,0.04890241,0.05920897,0.0272,0.08786213,0.06402947,0.0359,0.156441,0.1280802,0.141,0.09531938,0.259098,0.134,0.1958565,0.22893,0.155,0.06864201,0.03735436,0.0356
0.036,0.3655905,0.3970484,0.387,0.3427189,0.1641736,0.209,0.06033473,0.05798231,0.0729,0.3023487,0.1768639,0.337,0.09591542,0.09228653,0.161,0.1511966,0.06938235,0.174,0.2375753,0.3586937,0.261,0.08631533,0.1351582,0.0991,0.09520159,0.1417924,0.0448,0.1421337,0.2292751,0.186,0.120939,0.1028286,,0.1925654,0.3292555,0.111,0.1077149,0.1670823,0.128,0.2198933,0.18447,0.219,0.04263332,0.02773953,0.0343,0.1340827,0.1185464,0.0788,0.1741644,0.1219827,0.448,0.176732,0.2234459,0.0707,0.04681056,0.06434376,0.0487,0.1160186,0.1060908,0.0673,0.03250816,0.03871616,0.0223,0.06966107,0.07057066,0.0301,0.3448161,0.3195379,0.296,0.08688511,0.06641518,0.0861,0.1383372,0.0810512,0.187,0.2674364,0.3535143,0.471,0.2111054,0.1625039,0.51,0.1409543,0.2448025,0.338,0.08049653,0.08082743,0.0852,0.07704756,0.06050871,0.0771,0.3966843,0.4773806,0.556,0.3212984,0.2025131,0.274,0.1096632,0.1326045,0.144,0.2066615,0.2543668,0.145,0.03654452,0.0400751,0.0344,0.04912863,0.04406807,0.0304,0.309701,0.2424225,0.0822,0.2885603,0.4209673,0.121,0.1493488,0.1654468,0.127,0.0734129,0.06025047,0.0585,0.08169653,0.1138463,0.0493,0.06221526,0.07092619,0.0313,0.03982039,0.01866163,0.0213,0.1871792,0.1636122,0.123,0.1688917,0.1941844,0.123,0.1847558,0.2423883,0.318,0.218361,0.1270929,0.102,0.05148425,0.06289455,0.039,0.1446107,0.2004836,0.212,0.2569268,0.2215926,0.134,0.4400257,0.4387176,0.197,0.2321958,0.1888505,0.176,0.113691,0.1709321,0.0496,0.1993375,0.1625188,0.108,0.05755055,0.05534994,0.129,0.05404738,0.07177083,0.0333,0.2296328,0.1803126,0.244,0.1819018,0.2472106,0.117,0.06565716,0.05790309,0.0492,0.1424604,0.1642928,0.12,0.1874126,0.1288278,0.108,0.1491796,0.1264983,0.0837,0.04056367,0.02773508,,0.3018749,0.2186864,0.175,0.0646001,0.06476932,0.0352,0.06196892,0.05830641,0.0758,0.05494175,0.05312097,0.0318,0.03496144,0.05429194,0.028,0.06988743,0.06264339,0.0196,0.04491172,0.04860696,0.0317,0.04645193,0.03261148,0.0406,0.1040456,0.09279189,0.125,0.04962551,0.04840925,0.0213,0.2682048,0.2829814,0.184,0.1297137,0.2236422,0.192,0.04910037,0.05929952,0.0273,0.08759134,0.0640732,0.0366,0.1579088,0.127932,0.141,0.09596374,0.2585792,0.145,0.194186,0.2291031,0.161,0.06917331,0.03725529,0.0362
0.04,0.3825704,0.4263926,0.351,0.3352569,0.1777894,0.187,0.06012934,0.05823025,0.0723,0.3106211,0.1843167,0.35,0.09900697,0.097518,0.158,0.1585272,0.07240831,0.215,0.2341173,0.3830996,0.283,0.09977879,0.1368281,0.106,0.09930914,0.1442031,0.0449,0.1657958,0.2435093,0.214,0.1232195,0.1055374,,0.1836847,0.335291,0.131,0.1079774,0.1738486,0.149,0.231556,0.199547,0.206,0.04366259,0.0285795,0.0347,0.1342544,0.1188334,0.0914,0.1889387,0.1273099,0.736,0.1805376,0.2255119,0.0877,0.0593322,0.06287976,0.0611,0.1146442,0.1077684,0.0736,0.03275732,0.03929112,0.0225,0.07104877,0.07178687,0.0298,0.3426236,0.3291175,0.413,0.09654407,0.07065712,0.0975,0.1399346,0.0830344,0.192,0.2808984,0.3557194,0.495,0.2160082,0.159007,0.484,0.1451587,0.2727429,0.342,0.07962259,0.08075003,0.0951,0.07636315,0.06213294,0.0955,0.4029348,0.5325881,0.561,0.3464706,0.2256305,0.314,0.1081868,0.1483352,0.169,0.2128689,0.2956648,0.173,0.04494245,0.04041498,0.0419,0.05068646,0.04943548,0.0347,0.3165406,0.2519732,0.0958,0.2871536,0.4176953,0.14,0.1605138,0.1804055,0.132,0.07518884,0.06151824,0.0611,0.1019846,0.1131567,0.0501,0.06490157,0.07247771,0.0332,0.04056395,0.02100516,0.0228,0.2004575,0.1640021,0.162,0.1715316,0.1800971,0.167,0.1975479,0.2537641,0.398,0.2299316,0.1307265,0.117,0.05084782,0.06348927,0.0428,0.1461546,0.202774,0.247,0.2842714,0.2226129,0.186,0.45106,0.4586351,0.221,0.2531621,0.2186419,0.26,0.1223009,0.180853,0.0532,0.1973592,0.1656439,0.112,0.06649377,0.06139037,0.111,0.05571716,0.07250742,0.0323,0.2329121,0.1882626,0.282,0.1857682,0.2793738,0.138,0.06216875,0.05809943,0.0474,0.1446417,0.1659293,0.131,0.1908417,0.1349855,0.122,0.1525921,0.1256436,0.0928,0.04032657,0.02916283,,0.2966448,0.2177498,0.168,0.06365687,0.06613595,0.0449,0.06244757,0.06354434,0.0885,0.05623717,0.05513656,0.0368,0.03621136,0.05670273,0.0312,0.0688606,0.06367318,0.0219,0.04653187,0.04898684,0.0328,0.04969357,0.0335037,0.0402,0.1008128,0.1004981,0.157,0.04977895,0.0479233,0.0222,0.4302487,0.2555961,0.23,0.1293247,0.2258533,0.184,0.04912259,0.05939097,0.0287,0.08762819,0.06362753,0.0397,0.1595339,0.1330575,0.144,0.09917456,0.2616231,0.187,0.1968287,0.2356008,0.182,0.07133935,0.03603097,0.0395
0.042,0.384472,0.4105928,0.381,0.3309726,0.1951373,0.194,0.06103568,0.05665309,0.0744,0.310779,0.1863846,0.351,0.09927694,0.09795133,0.173,0.1649084,0.08087707,0.231,0.234645,0.3686672,0.411,0.1030843,0.1386821,0.117,0.1015471,0.143747,0.046,0.1625448,0.2260944,0.22,0.1239812,0.1073475,,0.1853,0.3328847,0.132,0.1139879,0.1753616,0.152,0.2400704,0.206597,0.223,0.04296042,0.02879241,0.0341,0.1329071,0.1193674,0.0911,0.1517812,0.1159323,0.622,0.1800202,0.2254249,0.0862,0.05739604,0.06295906,0.0592,0.1215489,0.1135335,0.0772,0.0329333,0.03956402,0.0223,0.07178148,0.07217382,0.0287,0.331999,0.3456015,0.366,0.1019502,0.07250911,0.113,0.1404689,0.08206911,0.21,0.3209715,0.3556989,0.622,0.2119785,0.1652874,0.444,0.1492104,0.2704117,0.379,0.08039137,0.08143799,0.105,0.07663527,0.06345871,0.105,0.4239388,0.5796146,0.619,0.3876871,0.2569617,0.329,0.1206416,0.1554258,0.178,0.2143222,0.2827263,0.172,0.04704085,0.03976808,0.0429,0.05292071,0.05051962,0.0374,0.345699,0.258286,0.111,0.2934388,0.4206055,0.159,0.1724522,0.182805,0.132,0.08403119,0.06410121,0.0651,0.1102583,0.108737,0.0526,0.06480248,0.07305375,0.0363,0.04071771,0.02389439,0.0248,0.203098,0.1675537,0.186,0.1692988,0.1951547,0.185,0.2012165,0.2508661,0.397,0.2350197,0.1323967,0.137,0.05104817,0.06413018,0.0498,0.1549631,0.1975016,0.272,0.287622,0.2283591,0.222,0.5053459,0.4396516,0.219,0.2706819,0.2336439,0.261,0.1271171,0.1872923,0.0539,0.1883924,0.1666175,0.133,0.0679953,0.06853859,0.118,0.05826874,0.07213946,0.0339,0.2351374,0.1944835,0.286,0.176744,0.2851188,0.15,0.06458551,0.05937428,0.0479,0.1500842,0.1686964,0.137,0.193051,0.1390886,0.116,0.1530215,0.1266592,0.0955,0.04132402,0.03004966,,0.2999216,0.2218572,0.166,0.06447595,0.06579368,0.0495,0.06418608,0.06210419,0.0877,0.05548505,0.05915301,0.0423,0.03791584,0.05901847,0.0385,0.06819431,0.06268665,0.0225,0.046142,0.04907989,0.0341,0.05082838,0.03416743,0.0434,0.0973232,0.09858716,0.157,0.05029995,0.04950852,0.0233,0.4995381,0.2852369,0.268,0.1262257,0.2277624,0.172,0.04911289,0.06021097,0.0284,0.0883819,0.06456058,0.042,0.157993,0.1344113,0.168,0.09840423,0.2587006,0.196,0.1999313,0.2384383,0.187,0.0723765,0.03673048,0.0418
