longitude latitude PGA(g)	
101.709330 -1.645020 0.152134
101.709330 -1.445020 0.150846
101.709330 -1.245020 0.149630
101.709330 -1.045020 0.148620
101.709330 -0.845020 0.147423
101.709330 -0.645020 0.146745
101.709330 -0.445020 0.146556
101.709330 -0.245020 0.146678
101.709330 -0.045020 0.146861
101.709330 0.154980 0.146208
101.709330 0.354980 0.145602
101.709330 0.554980 0.144994
101.709330 0.754980 0.144433
101.709330 0.954980 0.143868
101.709330 1.154980 0.143328
101.709330 1.354980 0.142784
101.709330 1.554980 0.136937
101.709330 1.754980 0.119609
101.709330 1.954980 0.100397
101.709330 2.754980 0.092547
101.709330 2.954980 0.081147
101.709330 3.154980 0.071345
101.709330 3.354980 0.070004
101.709330 3.554980 0.063498
101.709330 3.754980 0.054463
101.709330 3.954980 0.049650
101.709330 4.154980 0.044037
101.709330 4.354980 0.038127
101.709330 4.554980 0.032552
101.709330 4.754980 0.028101
101.709330 4.954980 0.024413
101.709330 5.154980 0.021947
101.709330 5.354980 0.019479
101.709330 5.554980 0.016839
101.709330 5.754980 0.014806
101.909330 -3.445020 0.223202
101.909330 -3.245020 0.209977
101.909330 -3.045020 0.193161
101.909330 -2.845020 0.179808
101.909330 -2.645020 0.172056
101.909330 -2.445020 0.165484
101.909330 -2.245020 0.159255
101.909330 -2.045020 0.154628
101.909330 -1.845020 0.151139
101.909330 -1.645020 0.148811
101.909330 -1.445020 0.147622
101.909330 -1.245020 0.146910
101.909330 -1.045020 0.146145
101.909330 -0.845020 0.145682
101.909330 -0.645020 0.145567
101.909330 -0.445020 0.145689
101.909330 -0.245020 0.145966
101.909330 -0.045020 0.146357
101.909330 0.154980 0.146566
101.909330 0.354980 0.145970
101.909330 0.554980 0.145391
101.909330 0.754980 0.144817
101.909330 0.954980 0.144284
101.909330 1.154980 0.143718
101.909330 1.354980 0.137838
101.909330 2.554980 0.072082
101.909330 2.754980 0.070741
101.909330 2.954980 0.064106
101.909330 3.154980 0.054947
101.909330 3.354980 0.053647
101.909330 3.554980 0.049975
101.909330 3.754980 0.044295
101.909330 3.954980 0.039432
101.909330 4.154980 0.035819
101.909330 4.354980 0.032075
101.909330 4.554980 0.028173
101.909330 4.754980 0.024460
101.909330 4.954980 0.021997
101.909330 5.154980 0.019546
101.909330 5.354980 0.016907
101.909330 5.554980 0.014840
101.909330 5.754980 0.013920
102.109330 -3.445020 0.191514
102.109330 -3.245020 0.183926
102.109330 -3.045020 0.177429
102.109330 -2.845020 0.169429
102.109330 -2.645020 0.160074
102.109330 -2.445020 0.155619
102.109330 -2.245020 0.152471
102.109330 -2.045020 0.149929
102.109330 -1.845020 0.147897
102.109330 -1.645020 0.146410
102.109330 -1.445020 0.144994
102.109330 -1.245020 0.144591
102.109330 -1.045020 0.144472
102.109330 -0.845020 0.144498
102.109330 -0.645020 0.144673
102.109330 -0.445020 0.144965
102.109330 -0.245020 0.145359
102.109330 -0.045020 0.145786
102.109330 0.154980 0.146243
102.109330 0.354980 0.146392
102.109330 0.554980 0.145816
102.109330 0.754980 0.145239
102.109330 0.954980 0.144669
102.109330 1.154980 0.144135
102.109330 1.354980 0.138217
102.109330 1.554980 0.112508
102.109330 2.354980 0.055011
102.109330 2.554980 0.054871
102.109330 2.754980 0.054128
102.109330 2.954980 0.050425
102.109330 3.154980 0.044644
102.109330 3.354980 0.041892
102.109330 3.554980 0.039664
102.109330 3.754980 0.036038
102.109330 3.954980 0.032245
102.109330 4.154980 0.029744
102.109330 4.354980 0.026998
102.109330 4.554980 0.024247
102.109330 4.754980 0.022025
102.109330 4.954980 0.019593
102.109330 5.154980 0.016957
102.109330 5.354980 0.014864
102.109330 5.554980 0.013952
102.109330 5.754980 0.013143
102.109330 5.954980 0.012412
102.109330 6.154980 0.011763
102.309330 -5.445020 0.515528
102.309330 -3.845020 0.213170
102.309330 -3.645020 0.190982
102.309330 -3.445020 0.176269
102.309330 -3.245020 0.169869
102.309330 -3.045020 0.164967
102.309330 -2.845020 0.158106
102.309330 -2.645020 0.152769
102.309330 -2.445020 0.149088
102.309330 -2.245020 0.147735
102.309330 -2.045020 0.146425
102.309330 -1.845020 0.145343
102.309330 -1.645020 0.144082
102.309330 -1.445020 0.143394
102.309330 -1.245020 0.143175
102.309330 -1.045020 0.143378
102.309330 -0.845020 0.143666
102.309330 -0.645020 0.143991
102.309330 -0.445020 0.144374
102.309330 -0.245020 0.144788
102.309330 -0.045020 0.145239
102.309330 0.154980 0.145724
102.309330 0.354980 0.146182
102.309330 0.554980 0.146239
102.309330 0.754980 0.145665
102.309330 1.154980 0.139132
102.309330 1.354980 0.121375
102.309330 2.354980 0.042810
102.309330 2.554980 0.042689
102.309330 2.754980 0.042225
102.309330 2.954980 0.039979
102.309330 3.154980 0.036341
102.309330 3.354980 0.033329
102.309330 3.554980 0.032035
102.309330 3.754980 0.029891
102.309330 3.954980 0.027152
102.309330 4.154980 0.024649
102.309330 4.354980 0.023174
102.309330 4.554980 0.021486
102.309330 4.754980 0.019396
102.309330 4.954980 0.016982
102.309330 5.154980 0.014878
102.309330 5.354980 0.013970
102.309330 5.554980 0.013166
102.309330 5.754980 0.012444
102.309330 5.954980 0.011797
102.309330 6.154980 0.011215
102.509330 -4.045020 0.212240
102.509330 -3.845020 0.190166
102.509330 -3.645020 0.177163
102.509330 -3.445020 0.167051
102.509330 -3.245020 0.159969
102.509330 -3.045020 0.153985
102.509330 -2.845020 0.150525
102.509330 -2.645020 0.147794
102.509330 -2.445020 0.145678
102.509330 -2.245020 0.144435
102.509330 -2.045020 0.143658
102.509330 -1.845020 0.142861
102.509330 -1.645020 0.142391
102.509330 -1.445020 0.142249
102.509330 -1.245020 0.142322
102.509330 -1.045020 0.142614
102.509330 -0.845020 0.143000
102.509330 -0.645020 0.143391
102.509330 -0.445020 0.143839
102.509330 -0.245020 0.144257
102.509330 -0.045020 0.144728
102.509330 0.154980 0.145177
102.509330 0.354980 0.145663
102.509330 0.554980 0.146120
102.509330 0.954980 0.145483
102.509330 2.154980 0.043479
102.509330 2.354980 0.034859
102.509330 2.554980 0.033854
102.509330 2.754980 0.033546
102.509330 2.954980 0.032241
102.509330 3.154980 0.030103
102.509330 3.354980 0.027364
102.509330 3.554980 0.026249
102.509330 3.754980 0.024732
102.509330 3.954980 0.023263
102.509330 4.154980 0.021587
102.509330 4.354980 0.020228
102.509330 4.554980 0.018410
102.509330 4.754980 0.016497
102.509330 4.954980 0.014816
102.509330 5.154980 0.013973
102.509330 5.354980 0.013175
102.509330 5.554980 0.012459
102.509330 5.754980 0.011820
102.709330 -4.245020 0.205675
102.709330 -4.045020 0.189474
102.709330 -3.845020 0.176356
102.709330 -3.645020 0.165783
102.709330 -3.445020 0.157716
102.709330 -3.245020 0.151987
102.709330 -3.045020 0.147186
102.709330 -2.845020 0.145560
102.709330 -2.645020 0.144220
102.709330 -2.445020 0.143154
102.709330 -2.245020 0.141808
102.709330 -2.045020 0.141358
102.709330 -1.845020 0.141205
102.709330 -1.645020 0.141214
102.709330 -1.445020 0.141379
102.709330 -1.245020 0.141641
102.709330 -1.045020 0.142001
102.709330 -0.845020 0.142425
102.709330 -0.645020 0.142848
102.709330 -0.445020 0.143299
102.709330 -0.245020 0.143750
102.709330 -0.045020 0.144224
102.709330 0.154980 0.144669
102.709330 0.354980 0.145116
102.709330 0.554980 0.145573
102.709330 0.954980 0.145878
102.709330 1.954980 0.049588
102.709330 2.154980 0.038687
102.709330 2.354980 0.031994
102.709330 2.554980 0.027711
102.709330 2.754980 0.027422
102.709330 2.954980 0.026403
102.709330 3.154980 0.024851
102.709330 3.354980 0.023397
102.709330 3.554980 0.022398
102.709330 3.754980 0.021526
102.709330 3.954980 0.020328
102.709330 4.154980 0.018524
102.709330 4.354980 0.016828
102.709330 4.554980 0.015440
102.709330 4.754980 0.014522
102.709330 4.954980 0.013820
102.709330 5.154980 0.013126
102.709330 5.354980 0.012455
102.709330 5.554980 0.011825
102.909330 -4.445020 0.187547
102.909330 -4.245020 0.180260
102.909330 -4.045020 0.173825
102.909330 -3.845020 0.164556
102.909330 -3.645020 0.155689
102.909330 -3.445020 0.149848
102.909330 -3.245020 0.146239
102.909330 -3.045020 0.143617
102.909330 -2.845020 0.142280
102.909330 -2.645020 0.141422
102.909330 -2.445020 0.140598
102.909330 -2.245020 0.140099
102.909330 -2.045020 0.139931
102.909330 -1.845020 0.140105
